min,ng_1,ng_2,ng_x,odd_1,odd_2,odd_ag,odd_ag_less,odd_ag_more,odd_hg,odd_hg_less,odd_hg_more,odd_tg,odd_tg_less,odd_tg_more,odd_x,res_away,res_home
39,1.33,3.40,14.0,1.05,23.0,0.50,1.52,2.20,2.50,1.51,2.20,1,1,1,7.00,0,1
40,1.33,3.40,14.0,1.05,24.0,0.50,1.50,2.20,2.50,1.49,2.25,1,1,1,7.00,0,1
41,1.33,3.40,14.0,1.05,24.0,0.50,1.49,2.25,2.50,1.48,2.30,1,1,1,7.00,0,1
42,1.33,3.40,14.0,1.05,24.0,0.50,1.48,2.30,2.50,1.46,2.35,1,1,1,7.00,0,1
43,1.33,3.40,14.0,1.05,24.0,0.50,1.47,2.30,2.50,1.44,2.40,1,1,1,7.00,0,1
44,1.33,3.40,14.0,1.05,24.0,0.50,1.46,2.35,2.50,1.42,2.50,1,1,1,7.00,0,1
45,1.33,3.40,14.0,1.05,25.0,0.50,1.45,2.40,2.50,1.41,2.50,1,1,1,7.00,0,1
46,1.33,3.40,14.0,1.05,25.0,0.50,1.43,2.45,2.50,1.39,2.60,1,1,1,7.00,0,1
47,1.33,3.40,14.0,1.05,25.0,0.50,1.42,2.50,2.50,1.37,2.65,1,1,1,7.00,0,1
48,1.33,3.40,14.0,1.05,26.0,0.50,1.41,2.50,2.50,1.36,2.70,1,1,1,7.00,0,1
49,1.33,3.40,14.0,1.05,26.0,0.50,1.40,2.55,2.50,1.34,2.80,1,1,1,7.00,0,1
50,1.33,3.40,14.0,1.05,26.0,0.50,1.39,2.60,1.50,2.80,1.34,1,1,1,7.00,0,1
51,1.33,3.40,14.0,1.05,27.0,0.50,1.38,2.65,1.50,2.75,1.35,1,1,1,7.00,0,1
52,1.33,3.40,14.0,1.05,28.0,0.50,1.37,2.70,1.50,2.70,1.37,1,1,1,7.00,0,1
53,1.33,3.40,14.0,1.05,28.0,0.50,1.35,2.75,1.50,2.60,1.39,1,1,1,7.00,0,1
54,1.33,3.40,14.0,1.05,28.0,0.50,1.34,2.80,1.50,2.55,1.40,1,1,1,7.00,0,1
55,1.33,3.40,14.0,1.05,29.0,0.50,1.33,2.85,1.50,2.50,1.42,1,1,1,7.00,0,1
56,1.33,3.40,14.0,1.05,30.0,0.50,1.32,2.90,1.50,2.40,1.44,1,1,1,7.00,0,1
57,1.33,3.40,14.0,1.04,31.0,0.50,1.30,3.00,1.50,2.35,1.46,1,1,1,7.00,0,1
58,1.33,3.40,14.0,1.04,32.0,0.50,1.29,3.00,1.50,2.30,1.48,1,1,1,7.00,0,1
59,1.33,3.40,14.0,1.04,32.0,0.50,1.28,3.10,1.50,2.20,1.50,1,1,1,7.00,0,1
60,1.33,3.40,14.0,1.04,34.0,0.50,1.27,3.15,1.50,2.15,1.53,1,1,1,7.00,0,1
61,1.33,3.40,14.0,1.04,34.0,0.50,1.25,3.20,1.50,2.10,1.55,1,1,1,7.00,0,1
62,1.33,3.40,14.0,1.04,35.0,0.50,1.24,3.30,1.50,2.05,1.58,1,1,1,7.00,0,1
63,1.33,3.40,14.0,1.04,38.0,0.50,1.23,3.35,1.50,2.00,1.61,1.50,2.75,1.35,7.00,0,1
64,1.33,3.40,14.0,1.04,39.0,0.50,1.22,3.45,1.50,1.97,1.64,1.50,2.65,1.37,7.00,0,1
65,1.33,3.40,14.0,1.04,39.0,0.50,1.20,3.55,1.50,1.91,1.68,1.50,2.55,1.40,7.00,0,1
66,1.33,3.40,14.0,1.04,40.0,0.50,1.19,3.65,1.50,1.85,1.72,1.50,2.45,1.42,7.00,0,1
67,1.33,3.40,14.0,1.04,44.0,0.50,1.17,3.75,1.50,1.81,1.76,1.50,2.40,1.45,7.00,0,1
68,1.33,3.40,14.0,1.04,45.0,0.50,1.16,3.85,1.50,1.76,1.81,1.50,2.30,1.48,7.00,0,1
69,1.33,3.40,14.0,1.03,47.0,0.50,1.15,4.00,1.50,1.71,1.86,1.50,2.20,1.51,7.00,0,1
70,1.33,3.40,14.0,1.03,48.0,0.50,1.14,4.10,1.50,1.67,1.91,1.50,2.15,1.54,7.00,0,1
71,1.33,3.40,14.0,1.03,51.0,0.50,1.12,4.25,1.50,1.63,1.98,1.50,2.05,1.57,7.00,0,1
72,1.33,3.40,14.0,1.03,60.0,0.50,1.11,4.40,1.50,1.59,2.00,1.50,2.00,1.61,7.50,0,1
73,1.33,3.40,14.0,1.03,60.0,0.50,1.10,4.60,1.50,1.56,2.10,1.50,1.93,1.66,7.50,0,1
74,1.33,3.40,14.0,1.03,60.0,0.50,1.09,4.75,1.50,1.52,2.20,1.50,1.86,1.71,7.50,0,1
75,1.33,3.40,14.0,1.03,60.0,0.50,1.08,5.00,1.50,1.49,2.25,1.50,1.79,1.77,7.50,0,1
76,1.33,3.40,14.0,1.03,60.0,0.50,1.07,5.00,1.50,1.45,2.40,1.50,1.72,1.85,8.00,0,1
77,1.33,3.40,14.0,1.03,60.0,0.50,1.06,5.00,1.50,1.42,2.50,1.50,1.66,1.93,8.00,0,1
78,1.33,3.40,14.0,1.03,60.0,0.50,1.06,5.00,1.50,1.37,2.70,1.50,1.60,2.00,8.00,0,1
79,1.33,3.40,14.0,1.03,60.0,0.50,1.05,5.50,1.50,1.34,2.80,1.50,1.55,2.10,8.00,0,1
80,1.33,3.40,14.0,1.03,60.0,0.50,1.04,6.00,1.50,1.31,2.95,1.50,1.50,2.20,8.00,0,1
81,1.33,3.40,14.0,1.03,60.0,0.50,1.04,6.50,1.50,1.28,3.10,1.50,1.46,2.35,8.50,0,1
82,1.33,3.40,14.0,1.02,60.0,0.50,1.03,7.00,1.50,1.25,3.25,1.50,1.42,2.50,9.00,0,1
83,1.33,3.40,14.0,1.02,60.0,0.50,1.03,7.50,1.50,1.21,3.45,1.50,1.38,2.65,9.00,0,1
84,1.33,3.40,14.0,1.02,60.0,0.50,1.03,8.00,1.50,1.18,3.70,1.50,1.33,2.85,9.50,0,1
85,1.33,3.40,14.0,1.02,60.0,0.50,1.02,8.50,1.50,1.15,4.00,1.50,1.29,3.05,10.0,0,1
86,1.33,3.40,14.0,1.02,60.0,0.50,1.02,9.50,1.50,1.12,4.35,1.50,1.24,3.30,10.5,0,1
87,1.33,3.40,14.0,1.02,60.0,1,1,1,1.50,1.09,4.80,1.50,1.20,3.55,11.0,0,1
88,1.33,3.40,14.0,1.02,60.0,1,1,1,1.50,1.06,5.00,1.50,1.15,3.95,12.0,0,1
89,1.33,3.40,14.0,1.02,60.0,1,1,1,1,1,1,1,1,1,13.0,0,1
90,1.33,3.40,14.0,1.02,60.0,1,1,1,1,1,1,1,1,1,13.0,0,1
91,1.33,3.40,14.0,1.02,60.0,1,1,1,1,1,1,1,1,1,13.0,0,1
